match_id,season,team,bowler,overs,runs_given,wickets,economy,maidens
7,2020,Sunrisers Hyderabad,Mayank Agarwal,2.5,16,3,6.4,1
7,2020,Sunrisers Hyderabad,Umran Malik,3.9,27,3,6.92,0
7,2020,Rajasthan Royals,Yuzvendra Chahal,2.2,27,1,12.27,0
7,2020,Rajasthan Royals,Shimron Hetmyer,1.8,10,2,5.56,1
7,2020,Rajasthan Royals,Ravichandran Ashwin,3.5,30,2,8.57,1
7,2020,Rajasthan Royals,Riyan Parag,3.6,40,3,11.11,1
7,2020,Rajasthan Royals,Prasidh Krishna,2.0,25,3,12.5,1
8,2020,Punjab Kings,Kagiso Rabada,2.3,19,2,8.26,1
8,2020,Punjab Kings,Sam Curran,3.1,41,2,13.23,0
8,2020,Punjab Kings,Rishi Dhawan,4.0,46,0,11.5,0
8,2020,Punjab Kings,Nathan Ellis,2.1,19,2,9.05,1
8,2020,Punjab Kings,Prabhsimran Singh,1.1,14,3,12.73,1
8,2020,Rajasthan Royals,Yuzvendra Chahal,1.0,14,0,14.0,1
8,2020,Rajasthan Royals,Shimron Hetmyer,3.5,30,1,8.57,1
8,2020,Rajasthan Royals,Ravichandran Ashwin,1.7,7,2,4.12,0
8,2020,Rajasthan Royals,Riyan Parag,2.9,28,0,9.66,1
8,2020,Rajasthan Royals,Prasidh Krishna,3.4,14,2,4.12,0
9,2020,Royal Challengers Bangalore,Mohammed Siraj,1.8,5,3,2.78,0
9,2020,Royal Challengers Bangalore,Wanindu Hasaranga,3.0,13,0,4.33,1
9,2020,Royal Challengers Bangalore,Shahbaz Ahmed,1.7,6,1,3.53,0
9,2020,Royal Challengers Bangalore,Anuj Rawat,3.5,25,1,7.14,0
9,2020,Royal Challengers Bangalore,Josh Hazlewood,2.0,12,0,6.0,1
9,2020,Punjab Kings,Kagiso Rabada,3.6,21,1,5.83,1
9,2020,Punjab Kings,Sam Curran,3.4,19,0,5.59,0
9,2020,Punjab Kings,Rishi Dhawan,1.0,7,2,7.0,0
9,2020,Punjab Kings,Nathan Ellis,1.5,4,1,2.67,1
9,2020,Punjab Kings,Prabhsimran Singh,2.6,10,3,3.85,1
10,2020,Chennai Super Kings,Deepak Chahar,3.3,26,3,7.88,0
10,2020,Chennai Super Kings,Moeen Ali,2.8,29,2,10.36,0
10,2020,Chennai Super Kings,Mitchell Santner,1.5,15,2,10.0,1
10,2020,Chennai Super Kings,Shivam Dube,2.1,13,1,6.19,1
10,2020,Chennai Super Kings,Tushar Deshpande,1.2,15,0,12.5,0
10,2020,Delhi Capitals,Kuldeep Yadav,3.2,25,3,7.81,1
10,2020,Delhi Capitals,Mitchell Marsh,2.4,13,2,5.42,1
10,2020,Delhi Capitals,Phil Salt,3.2,17,0,5.31,0
10,2020,Delhi Capitals,Lalit Yadav,1.5,13,0,8.67,0
10,2020,Delhi Capitals,Mustafizur Rahman,1.8,14,3,7.78,1
11,2020,Mumbai Indians,Jasprit Bumrah,2.8,28,0,10.0,0
11,2020,Mumbai Indians,Tilak Varma,3.9,43,3,11.03,1
11,2020,Mumbai Indians,Tim David,3.0,32,2,10.67,0
11,2020,Mumbai Indians,Piyush Chawla,2.3,23,3,10.0,1
11,2020,Mumbai Indians,Arjun Tendulkar,3.4,15,2,4.41,0
11,2020,Sunrisers Hyderabad,T Natarajan,1.9,11,0,5.79,0
11,2020,Sunrisers Hyderabad,Washington Sundar,2.1,17,0,8.1,0
11,2020,Sunrisers Hyderabad,Marco Jansen,2.8,24,3,8.57,1
11,2020,Sunrisers Hyderabad,Mayank Agarwal,2.7,9,3,3.33,0
11,2020,Sunrisers Hyderabad,Umran Malik,2.0,23,1,11.5,0
12,2020,Royal Challengers Bangalore,Mohammed Siraj,1.7,11,1,6.47,1
12,2020,Royal Challengers Bangalore,Wanindu Hasaranga,3.0,40,3,13.33,1
12,2020,Royal Challengers Bangalore,Shahbaz Ahmed,3.3,44,3,13.33,0
12,2020,Royal Challengers Bangalore,Anuj Rawat,3.5,20,2,5.71,0
12,2020,Royal Challengers Bangalore,Josh Hazlewood,2.9,19,0,6.55,0
12,2020,Rajasthan Royals,Yuzvendra Chahal,1.9,6,2,3.16,1
12,2020,Rajasthan Royals,Shimron Hetmyer,3.7,21,3,5.68,0
12,2020,Rajasthan Royals,Ravichandran Ashwin,3.8,26,3,6.84,1
12,2020,Rajasthan Royals,Riyan Parag,3.8,38,0,10.0,1
12,2020,Rajasthan Royals,Prasidh Krishna,2.5,15,3,6.0,0
13,2020,Kolkata Knight Riders,Rinku Singh,3.4,14,2,4.12,1
13,2020,Kolkata Knight Riders,Nitish Rana,2.5,25,3,10.0,1
13,2020,Kolkata Knight Riders,Varun Chakravarthy,1.1,14,1,12.73,1
13,2020,Kolkata Knight Riders,Tim Southee,2.1,9,2,4.29,1
13,2020,Kolkata Knight Riders,Umesh Yadav,1.4,9,3,6.43,1
13,2020,Rajasthan Royals,Yuzvendra Chahal,3.2,36,2,11.25,0
13,2020,Rajasthan Royals,Shimron Hetmyer,2.5,23,2,9.2,1
13,2020,Rajasthan Royals,Ravichandran Ashwin,3.4,39,0,11.47,1
13,2020,Rajasthan Royals,Riyan Parag,2.8,13,2,4.64,1
13,2020,Rajasthan Royals,Prasidh Krishna,1.3,9,2,6.92,1
14,2020,Sunrisers Hyderabad,T Natarajan,1.4,5,0,3.57,1
14,2020,Sunrisers Hyderabad,Washington Sundar,2.2,30,3,13.64,1
14,2020,Sunrisers Hyderabad,Marco Jansen,3.3,16,1,4.85,1
14,2020,Sunrisers Hyderabad,Mayank Agarwal,2.9,22,3,7.59,1
14,2020,Sunrisers Hyderabad,Umran Malik,1.4,12,1,8.57,0
14,2020,Delhi Capitals,Kuldeep Yadav,2.3,9,0,3.91,0
14,2020,Delhi Capitals,Mitchell Marsh,1.9,6,2,3.16,0
14,2020,Delhi Capitals,Phil Salt,2.0,24,2,12.0,0
14,2020,Delhi Capitals,Lalit Yadav,1.8,14,2,7.78,0
14,2020,Delhi Capitals,Mustafizur Rahman,2.9,27,0,9.31,0
15,2020,Royal Challengers Bangalore,Mohammed Siraj,1.0,5,3,5.0,0
15,2020,Royal Challengers Bangalore,Wanindu Hasaranga,3.6,35,3,9.72,1
15,2020,Royal Challengers Bangalore,Shahbaz Ahmed,1.1,4,1,3.64,1
15,2020,Royal Challengers Bangalore,Anuj Rawat,2.7,10,3,3.7,1
15,2020,Royal Challengers Bangalore,Josh Hazlewood,3.3,29,0,8.79,0
15,2020,Delhi Capitals,Kuldeep Yadav,3.9,37,2,9.49,1
15,2020,Delhi Capitals,Mitchell Marsh,2.7,19,1,7.04,0
15,2020,Delhi Capitals,Phil Salt,2.8,20,0,7.14,0
15,2020,Delhi Capitals,Lalit Yadav,1.1,15,2,13.64,1
15,2020,Delhi Capitals,Mustafizur Rahman,2.6,12,1,4.62,1
16,2020,Rajasthan Royals,Yuzvendra Chahal,1.9,15,0,7.89,1
16,2020,Rajasthan Royals,Shimron Hetmyer,3.8,28,3,7.37,0
16,2020,Rajasthan Royals,Ravichandran Ashwin,1.6,12,2,7.5,1
16,2020,Rajasthan Royals,Riyan Parag,1.4,13,1,9.29,0
16,2020,Rajasthan Royals,Prasidh Krishna,1.2,12,1,10.0,0
16,2020,Punjab Kings,Kagiso Rabada,1.2,10,2,8.33,1
16,2020,Punjab Kings,Sam Curran,1.3,6,0,4.62,0
16,2020,Punjab Kings,Rishi Dhawan,2.2,23,3,10.45,0
16,2020,Punjab Kings,Nathan Ellis,3.3,30,2,9.09,1
16,2020,Punjab Kings,Prabhsimran Singh,2.9,10,1,3.45,0
17,2020,Mumbai Indians,Jasprit Bumrah,3.4,25,1,7.35,0
17,2020,Mumbai Indians,Tilak Varma,2.6,24,2,9.23,0
17,2020,Mumbai Indians,Tim David,3.8,19,0,5.0,0
17,2020,Mumbai Indians,Piyush Chawla,2.7,12,1,4.44,1
17,2020,Mumbai Indians,Arjun Tendulkar,3.6,40,0,11.11,0
17,2020,Royal Challengers Bangalore,Mohammed Siraj,3.2,43,0,13.44,1
17,2020,Royal Challengers Bangalore,Wanindu Hasaranga,3.4,41,1,12.06,1
17,2020,Royal Challengers Bangalore,Shahbaz Ahmed,2.4,9,3,3.75,1
17,2020,Royal Challengers Bangalore,Anuj Rawat,3.2,37,2,11.56,0
17,2020,Royal Challengers Bangalore,Josh Hazlewood,3.2,16,0,5.0,1
18,2020,Chennai Super Kings,Deepak Chahar,3.4,32,3,9.41,1
18,2020,Chennai Super Kings,Moeen Ali,1.4,10,1,7.14,1
18,2020,Chennai Super Kings,Mitchell Santner,1.7,7,2,4.12,0
18,2020,Chennai Super Kings,Shivam Dube,3.4,15,3,4.41,1
18,2020,Chennai Super Kings,Tushar Deshpande,2.7,12,3,4.44,0
18,2020,Sunrisers Hyderabad,T Natarajan,1.8,9,0,5.0,1
18,2020,Sunrisers Hyderabad,Washington Sundar,3.5,17,1,4.86,0
18,2020,Sunrisers Hyderabad,Marco Jansen,1.8,14,0,7.78,0
18,2020,Sunrisers Hyderabad,Mayank Agarwal,1.6,13,1,8.12,1
18,2020,Sunrisers Hyderabad,Umran Malik,1.6,9,2,5.62,0
19,2020,Rajasthan Royals,Yuzvendra Chahal,2.6,16,2,6.15,0
19,2020,Rajasthan Royals,Shimron Hetmyer,2.5,30,3,12.0,0
19,2020,Rajasthan Royals,Ravichandran Ashwin,1.3,5,1,3.85,0
19,2020,Rajasthan Royals,Riyan Parag,1.6,12,2,7.5,1
19,2020,Rajasthan Royals,Prasidh Krishna,1.8,10,0,5.56,1
19,2020,Delhi Capitals,Kuldeep Yadav,3.9,41,1,10.51,0
19,2020,Delhi Capitals,Mitchell Marsh,1.9,5,0,2.63,0
19,2020,Delhi Capitals,Phil Salt,2.2,20,3,9.09,0
19,2020,Delhi Capitals,Lalit Yadav,2.9,30,1,10.34,0
19,2020,Delhi Capitals,Mustafizur Rahman,2.5,21,2,8.4,0
20,2020,Kolkata Knight Riders,Rinku Singh,2.8,18,3,6.43,0
20,2020,Kolkata Knight Riders,Nitish Rana,1.9,10,0,5.26,0
20,2020,Kolkata Knight Riders,Varun Chakravarthy,2.7,13,3,4.81,0
20,2020,Kolkata Knight Riders,Tim Southee,1.4,8,2,5.71,1
20,2020,Kolkata Knight Riders,Umesh Yadav,1.4,6,3,4.29,1
20,2020,Mumbai Indians,Jasprit Bumrah,2.3,23,0,10.0,1
20,2020,Mumbai Indians,Tilak Varma,1.8,7,3,3.89,0
20,2020,Mumbai Indians,Tim David,2.4,12,2,5.0,0
20,2020,Mumbai Indians,Piyush Chawla,3.8,33,3,8.68,1
20,2020,Mumbai Indians,Arjun Tendulkar,2.3,21,1,9.13,1
21,2020,Delhi Capitals,Kuldeep Yadav,2.0,14,3,7.0,1
21,2020,Delhi Capitals,Mitchell Marsh,2.4,22,3,9.17,1
21,2020,Delhi Capitals,Phil Salt,1.2,4,0,3.33,0
21,2020,Delhi Capitals,Lalit Yadav,3.5,18,1,5.14,0
21,2020,Delhi Capitals,Mustafizur Rahman,2.5,25,1,10.0,1
21,2020,Royal Challengers Bangalore,Mohammed Siraj,2.7,22,1,8.15,1
21,2020,Royal Challengers Bangalore,Wanindu Hasaranga,2.9,13,3,4.48,1
21,2020,Royal Challengers Bangalore,Shahbaz Ahmed,1.1,13,1,11.82,1
21,2020,Royal Challengers Bangalore,Anuj Rawat,2.8,20,0,7.14,0
21,2020,Royal Challengers Bangalore,Josh Hazlewood,1.6,15,0,9.38,0
22,2020,Rajasthan Royals,Yuzvendra Chahal,3.3,35,0,10.61,1
22,2020,Rajasthan Royals,Shimron Hetmyer,2.6,21,0,8.08,0
22,2020,Rajasthan Royals,Ravichandran Ashwin,1.9,4,3,2.11,1
22,2020,Rajasthan Royals,Riyan Parag,2.0,10,3,5.0,0
22,2020,Rajasthan Royals,Prasidh Krishna,3.3,27,1,8.18,1
22,2020,Mumbai Indians,Jasprit Bumrah,3.6,39,1,10.83,0
22,2020,Mumbai Indians,Tilak Varma,3.4,25,0,7.35,1
22,2020,Mumbai Indians,Tim David,2.6,27,1,10.38,1
22,2020,Mumbai Indians,Piyush Chawla,3.9,30,2,7.69,1
22,2020,Mumbai Indians,Arjun Tendulkar,3.9,44,0,11.28,0
23,2020,Punjab Kings,Kagiso Rabada,3.0,12,0,4.0,1
23,2020,Punjab Kings,Sam Curran,3.5,39,1,11.14,1
23,2020,Punjab Kings,Rishi Dhawan,1.2,10,0,8.33,0
23,2020,Punjab Kings,Nathan Ellis,1.3,9,2,6.92,0
23,2020,Punjab Kings,Prabhsimran Singh,2.1,12,1,5.71,0
23,2020,Kolkata Knight Riders,Rinku Singh,2.6,8,1,3.08,1
23,2020,Kolkata Knight Riders,Nitish Rana,2.1,14,1,6.67,1
23,2020,Kolkata Knight Riders,Varun Chakravarthy,2.8,22,1,7.86,0
23,2020,Kolkata Knight Riders,Tim Southee,3.7,20,0,5.41,1
23,2020,Kolkata Knight Riders,Umesh Yadav,2.1,21,2,10.0,0
24,2020,Rajasthan Royals,Yuzvendra Chahal,3.9,45,2,11.54,0
24,2020,Rajasthan Royals,Shimron Hetmyer,2.1,16,0,7.62,0
24,2020,Rajasthan Royals,Ravichandran Ashwin,2.0,21,2,10.5,0
24,2020,Rajasthan Royals,Riyan Parag,1.8,13,0,7.22,1
24,2020,Rajasthan Royals,Prasidh Krishna,2.4,19,0,7.92,1
24,2020,Chennai Super Kings,Deepak Chahar,3.6,22,2,6.11,0
24,2020,Chennai Super Kings,Moeen Ali,1.8,5,0,2.78,0
24,2020,Chennai Super Kings,Mitchell Santner,3.2,12,0,3.75,0
24,2020,Chennai Super Kings,Shivam Dube,1.7,11,2,6.47,1
24,2020,Chennai Super Kings,Tushar Deshpande,3.8,23,0,6.05,1
25,2020,Sunrisers Hyderabad,T Natarajan,1.7,7,1,4.12,0
25,2020,Sunrisers Hyderabad,Washington Sundar,1.5,6,3,4.0,1
25,2020,Sunrisers Hyderabad,Marco Jansen,1.9,5,2,2.63,0
25,2020,Sunrisers Hyderabad,Mayank Agarwal,2.4,22,2,9.17,0
25,2020,Sunrisers Hyderabad,Umran Malik,1.3,14,2,10.77,0
25,2020,Kolkata Knight Riders,Rinku Singh,1.6,9,1,5.62,0
25,2020,Kolkata Knight Riders,Nitish Rana,3.1,34,3,10.97,0
25,2020,Kolkata Knight Riders,Varun Chakravarthy,3.0,28,1,9.33,0
25,2020,Kolkata Knight Riders,Tim Southee,3.9,40,1,10.26,0
25,2020,Kolkata Knight Riders,Umesh Yadav,2.4,12,0,5.0,0
26,2020,Punjab Kings,Kagiso Rabada,3.5,36,2,10.29,0
26,2020,Punjab Kings,Sam Curran,1.5,13,2,8.67,1
26,2020,Punjab Kings,Rishi Dhawan,3.7,13,2,3.51,0
26,2020,Punjab Kings,Nathan Ellis,2.7,14,3,5.19,1
26,2020,Punjab Kings,Prabhsimran Singh,1.5,4,0,2.67,0
26,2020,Chennai Super Kings,Deepak Chahar,1.7,7,0,4.12,1
26,2020,Chennai Super Kings,Moeen Ali,1.0,13,1,13.0,0
26,2020,Chennai Super Kings,Mitchell Santner,2.0,13,2,6.5,0
26,2020,Chennai Super Kings,Shivam Dube,1.1,13,1,11.82,0
26,2020,Chennai Super Kings,Tushar Deshpande,3.5,35,0,10.0,1
27,2020,Chennai Super Kings,Deepak Chahar,2.3,28,1,12.17,1
27,2020,Chennai Super Kings,Moeen Ali,1.5,5,2,3.33,0
27,2020,Chennai Super Kings,Mitchell Santner,3.9,38,2,9.74,1
27,2020,Chennai Super Kings,Shivam Dube,1.9,5,0,2.63,1
27,2020,Chennai Super Kings,Tushar Deshpande,2.7,23,1,8.52,0
27,2020,Mumbai Indians,Jasprit Bumrah,2.1,21,0,10.0,1
27,2020,Mumbai Indians,Tilak Varma,3.5,42,1,12.0,0
27,2020,Mumbai Indians,Tim David,1.1,6,2,5.45,0
27,2020,Mumbai Indians,Piyush Chawla,2.4,11,2,4.58,1
27,2020,Mumbai Indians,Arjun Tendulkar,2.4,29,2,12.08,0
28,2020,Chennai Super Kings,Deepak Chahar,2.9,29,3,10.0,0
28,2020,Chennai Super Kings,Moeen Ali,2.2,18,1,8.18,0
28,2020,Chennai Super Kings,Mitchell Santner,3.2,29,2,9.06,0
28,2020,Chennai Super Kings,Shivam Dube,2.0,17,2,8.5,1
28,2020,Chennai Super Kings,Tushar Deshpande,3.5,18,1,5.14,0
28,2020,Punjab Kings,Kagiso Rabada,1.9,15,3,7.89,1
28,2020,Punjab Kings,Sam Curran,1.8,10,0,5.56,0
28,2020,Punjab Kings,Rishi Dhawan,2.3,21,3,9.13,1
28,2020,Punjab Kings,Nathan Ellis,3.5,44,1,12.57,0
28,2020,Punjab Kings,Prabhsimran Singh,1.9,12,3,6.32,0
29,2020,Punjab Kings,Kagiso Rabada,2.2,18,1,8.18,0
29,2020,Punjab Kings,Sam Curran,3.0,30,2,10.0,1
29,2020,Punjab Kings,Rishi Dhawan,2.2,9,1,4.09,1
29,2020,Punjab Kings,Nathan Ellis,3.2,26,3,8.12,1
29,2020,Punjab Kings,Prabhsimran Singh,2.5,13,1,5.2,1
29,2020,Delhi Capitals,Kuldeep Yadav,1.3,6,2,4.62,0
29,2020,Delhi Capitals,Mitchell Marsh,3.8,33,0,8.68,0
29,2020,Delhi Capitals,Phil Salt,2.1,17,3,8.1,1
29,2020,Delhi Capitals,Lalit Yadav,2.1,26,2,12.38,1
29,2020,Delhi Capitals,Mustafizur Rahman,3.6,42,0,11.67,0
30,2020,Delhi Capitals,Kuldeep Yadav,2.8,13,0,4.64,1
30,2020,Delhi Capitals,Mitchell Marsh,3.1,14,3,4.52,1
30,2020,Delhi Capitals,Phil Salt,3.3,15,0,4.55,0
30,2020,Delhi Capitals,Lalit Yadav,3.0,13,0,4.33,0
30,2020,Delhi Capitals,Mustafizur Rahman,2.3,20,0,8.7,1
30,2020,Chennai Super Kings,Deepak Chahar,2.4,12,1,5.0,0
30,2020,Chennai Super Kings,Moeen Ali,1.9,14,0,7.37,1
30,2020,Chennai Super Kings,Mitchell Santner,2.9,30,1,10.34,1
30,2020,Chennai Super Kings,Shivam Dube,3.5,18,0,5.14,1
30,2020,Chennai Super Kings,Tushar Deshpande,1.3,5,3,3.85,0
31,2020,Royal Challengers Bangalore,Mohammed Siraj,1.1,8,2,7.27,0
31,2020,Royal Challengers Bangalore,Wanindu Hasaranga,3.1,45,1,14.52,1
31,2020,Royal Challengers Bangalore,Shahbaz Ahmed,2.6,30,0,11.54,1
31,2020,Royal Challengers Bangalore,Anuj Rawat,3.0,27,3,9.0,1
31,2020,Royal Challengers Bangalore,Josh Hazlewood,3.0,36,1,12.0,0
31,2020,Sunrisers Hyderabad,T Natarajan,1.0,6,3,6.0,1
31,2020,Sunrisers Hyderabad,Washington Sundar,3.6,16,3,4.44,1
31,2020,Sunrisers Hyderabad,Marco Jansen,1.7,8,0,4.71,0
31,2020,Sunrisers Hyderabad,Mayank Agarwal,2.7,20,3,7.41,0
31,2020,Sunrisers Hyderabad,Umran Malik,1.2,11,3,9.17,0
32,2020,Delhi Capitals,Kuldeep Yadav,3.9,30,3,7.69,0
32,2020,Delhi Capitals,Mitchell Marsh,1.4,13,2,9.29,1
32,2020,Delhi Capitals,Phil Salt,3.1,25,1,8.06,0
32,2020,Delhi Capitals,Lalit Yadav,2.9,17,2,5.86,0
32,2020,Delhi Capitals,Mustafizur Rahman,3.9,23,2,5.9,0
32,2020,Kolkata Knight Riders,Rinku Singh,3.3,42,3,12.73,1
32,2020,Kolkata Knight Riders,Nitish Rana,3.6,39,0,10.83,0
32,2020,Kolkata Knight Riders,Varun Chakravarthy,1.1,6,0,5.45,0
32,2020,Kolkata Knight Riders,Tim Southee,1.6,6,2,3.75,1
32,2020,Kolkata Knight Riders,Umesh Yadav,1.4,4,2,2.86,0
33,2020,Kolkata Knight Riders,Rinku Singh,3.8,27,0,7.11,1
33,2020,Kolkata Knight Riders,Nitish Rana,2.1,11,3,5.24,1
33,2020,Kolkata Knight Riders,Varun Chakravarthy,2.6,17,0,6.54,1
33,2020,Kolkata Knight Riders,Tim Southee,2.5,24,3,9.6,1
33,2020,Kolkata Knight Riders,Umesh Yadav,1.1,14,1,12.73,1
33,2020,Royal Challengers Bangalore,Mohammed Siraj,2.5,11,1,4.4,0
33,2020,Royal Challengers Bangalore,Wanindu Hasaranga,2.9,14,1,4.83,1
33,2020,Royal Challengers Bangalore,Shahbaz Ahmed,3.5,25,3,7.14,0
33,2020,Royal Challengers Bangalore,Anuj Rawat,3.2,21,0,6.56,1
33,2020,Royal Challengers Bangalore,Josh Hazlewood,3.2,14,0,4.38,0
34,2020,Punjab Kings,Kagiso Rabada,3.7,32,3,8.65,1
34,2020,Punjab Kings,Sam Curran,2.0,29,2,14.5,0
34,2020,Punjab Kings,Rishi Dhawan,2.7,19,2,7.04,1
34,2020,Punjab Kings,Nathan Ellis,1.5,9,1,6.0,0
34,2020,Punjab Kings,Prabhsimran Singh,3.1,39,2,12.58,1
34,2020,Mumbai Indians,Jasprit Bumrah,1.4,15,2,10.71,1
34,2020,Mumbai Indians,Tilak Varma,2.4,19,2,7.92,1
34,2020,Mumbai Indians,Tim David,2.7,13,0,4.81,1
34,2020,Mumbai Indians,Piyush Chawla,3.6,20,1,5.56,1
34,2020,Mumbai Indians,Arjun Tendulkar,3.2,16,0,5.0,0
35,2020,Kolkata Knight Riders,Rinku Singh,3.2,19,1,5.94,1
35,2020,Kolkata Knight Riders,Nitish Rana,3.4,19,3,5.59,1
35,2020,Kolkata Knight Riders,Varun Chakravarthy,2.4,26,1,10.83,1
35,2020,Kolkata Knight Riders,Tim Southee,1.1,4,1,3.64,0
35,2020,Kolkata Knight Riders,Umesh Yadav,1.4,12,0,8.57,0
35,2020,Sunrisers Hyderabad,T Natarajan,1.2,8,1,6.67,1
35,2020,Sunrisers Hyderabad,Washington Sundar,2.8,26,0,9.29,1
35,2020,Sunrisers Hyderabad,Marco Jansen,3.8,25,3,6.58,1
35,2020,Sunrisers Hyderabad,Mayank Agarwal,3.6,22,1,6.11,1
35,2020,Sunrisers Hyderabad,Umran Malik,2.8,26,1,9.29,1
36,2020,Rajasthan Royals,Yuzvendra Chahal,3.6,19,1,5.28,1
36,2020,Rajasthan Royals,Shimron Hetmyer,3.3,22,0,6.67,0
36,2020,Rajasthan Royals,Ravichandran Ashwin,2.5,18,0,7.2,0
36,2020,Rajasthan Royals,Riyan Parag,2.2,28,0,12.73,0
36,2020,Rajasthan Royals,Prasidh Krishna,3.5,42,3,12.0,0
36,2020,Royal Challengers Bangalore,Mohammed Siraj,1.2,7,2,5.83,0
36,2020,Royal Challengers Bangalore,Wanindu Hasaranga,2.8,20,3,7.14,1
36,2020,Royal Challengers Bangalore,Shahbaz Ahmed,3.1,15,1,4.84,1
